critic_name,album_name,album_rating,album_description
Logo,Don't Climb On And Take The Holy Water,80,"This is music best heard in the dark, on your back."
Logo,C'Mon Miracle,70,"Mirah's ability to paste candy-pop nursery rhymes over voluptuous, macabre arrangements is truly unique and wholly un-matched."
Logo,Rejoicing In The Hands,90,It's as simple as songwriting can get; as striking as songwriting can get.
Logo,Summer Make Good,80,"Catching electronica in it's embryonic state and somehow fusing it together with lush folk stylings, weathered ambience and the slightest - most beautiful - trace of vocals 'Summer Makes Good' is a truly breath-taking record."
Logo,Absent Friends,40,Patchy at best.
Logo,Van Lear Rose,90,Perhaps the album of her career.
Logo,Musicology,80,"A collection of frisky funk, slinky soul, raucous R&B and heated rock 'n' roll based on real songs, rather than the doodles and sketches that have recently become the norm."
Logo,Faking The Books,80,"If invention and imagination are the criteria to judge, this is a future classic."
Logo,The Runaway Found,90,The Veils debut is a colossal - yet strangely intimate - record.
Logo,The Duel,80,By far her best yet.
Logo,Schoozzzmmii,70,A window into the sublime mind of one of Britain's great outsiders.
The A.V. Club,Black Panther: The Album,83,"It all works, really. The tracks play it safe, but the project itself does not, an audacious exertion of energy from one of the planet's most universally revered musicians."
The A.V. Club,Crooked Shadows,50,"Of all his very short albums, this is his shortest, and where he once packed his songs with knotty chord changes and shout-along confessions, here he tends toward conventional structures and lowest-common-denominator couplets."
The A.V. Club,Sleepwalkers,75,"It's just Fallon and his microphone, crooning and crowing over these rhythm and blues-focused rave-ups, holding court over an old-school rock revival to match his restless mood."
The A.V. Club,Brighter Wounds,83,Brighter Wounds poses more questions than answers--but that uncertainty only makes the record more absorbing.
The A.V. Club,Always Ascending,67,"Always Ascending has its moments, even if it's not the musical rebirth Franz Ferdinand sought."
The A.V. Club,Here Come the Runts,83,The variety of genres here impresses the most.
The A.V. Club,Criminal,75,"While that poetry-journal melodrama grows a tad exhausting by album's end, there are plenty of deliciously bitter pleasures here for anyone who similarly loves brooding in that blacked-out, candlelit bedroom of the mind."
The A.V. Club,Microshift,75,"Overall, Microshift is the sound of a band pulling itself out of the abyss on the back of its most buoyant music yet."
The A.V. Club,Blood,91,"It's more minimal than The xx, more romantic than the most heartsick R&B, with drums pulled straight from '70s studio sessions. In other words, it's a lot of things, while still sounding like nothing else out there."
The A.V. Club,Man of the Woods,67,"Unfortunately, Man Of The Woods' thematic depth hasn't quite caught up to the rest of his ambition. It's not a fatal flaw, but it does make for a record that's not quite as transcendent as it was built up to be."
The A.V. Club,Down Below,83,"The title and lyrics suggest an inferno worthy of Dante, but music this simultaneously hooky and heavy could only have been concocted north of hell."
The A.V. Club,Shape the Future,50,"With so much New Age nattering, here more than ever your enjoyment will depend on your own zeal for enlightenment and/or bong rips."
The A.V. Club,All Melody,91,"A vibrant, exploratory album born from Frahm's newly constructed Berlin studio and the freedom to experiment it allowed."
The A.V. Club,Snares Like a Haircut,83,"Snares Like A Haircut finds Dean Spunt and Randy Randall making a warm, self-assured reunion, with each other and that scene-leading musical style."
The A.V. Club,Mania,50,"Since around 2007's Infinity On High, the key to enjoying Fall Out Boy has been letting go of their pop-punk past and embracing the pop band that always hid in plain sight. That was a chore on American Beauty/American Psycho, but less so on Mania. As endorsements go, that's pretty qualified."
The A.V. Club,Semicircle,67,"It's a rousing party record, but when the music stops and the lights come on, it all blurs together into a fun but forgettable time."
The A.V. Club,I Like Fun,75,"Lake Monsters gives rocking sci-fi tribute to mysterious beasts that should please longtime fans, 'The Bright Side' borrows from the '60s British Invasion, and 'Push Back The Hands' also turns sweetly nostalgic though there's no need for looking backward just yet, as the TMBG song machine is still operating at full force."
The A.V. Club,The  Official Body,83,"The Official Body proves why it's remained durable over so many iterations and, for the London trio, across three albums. There's a directness to its pleasures that's unflagging for all 10 tracks here."
The A.V. Club,I Can Feel You Creep Into My Private Life,83,"It may lack the punch of Nikki Nack, but for those willing to hang around and appreciate its jammier approach, it's a cathartic, worthwhile stop along the Tune-Yards catalog."
The A.V. Club,The House,50,"Maine turns in some of his best songs yet, with 'Country,' 'Now The Water,' and 'Find Me' all showcasing his skill as a crooner, but around its midpoint, the album starts to sag. The House's three interludes feel less like connective tissue and more like unfinished filler, and the album's back half ends up seeming rote."
The A.V. Club,Ruins,75,"It's a very familiar take on Americana, full of heartbreak and yearning, but a damn reliable one."
The A.V. Club,P'OST-,91,While that sounds incredibly daunting--and like a really tiring listen--the album's most impressive trait is that it makes all that vital work feel joyous and communal.
The A.V. Club,No One Ever Really Dies,58,"It's a weird fucking album, in other words, neither as crowd-pleasing as it should be nor as experimental as it wants to be. The drums sound great, though, and the Rihanna track is as good as N.E.R.D. gets."
The A.V. Club,Saturation III,75,"Like its predecessors, the album is hit or miss, but the batting average remains uncommonly high for a project like this."
The A.V. Club,Revival,33,"Revival isn't even interesting enough to warrant all of the critical beatdowns it's taken in its short time in the world. Instead, it's boring and predictable, which are greater threats to the Eminem legacy than anything else."
The A.V. Club,Finding Shore,83,"If the actual product doesn't always measure up to that quirky ingenuity--or if it is, on the whole, just a touch too chamber-music stately to reach the mind-expanding heights of Eno's '70s and '80s team-ups with Robert Fripp, Cluster, Harold Budd, et al.--Finding Shore still contains moments that are plenty interesting, even downright beautiful. In those, it doesn't really matter how they were created."
The A.V. Club,"How to Solve Our Human Problems, Pt. 1 [EP]",75,"What stands out about the first entry in Belle & Sebastian's three-part EP series How To Solve Our Human Problems is how much it, like 2015's Girls In Peacetime Want To Dance, sounds like the work of an out-and-out band."
The A.V. Club,The Visitor,42,"Young and the youngsters he's playing with here sound like they wrote and jammed these songs out in a few days, relying on the strength of his sentiment to carry them through. But a jam session with some cranky speak-singing on it doesn't make for a great album, and it's not going to make any new converts, unfortunately--either to Neil Young's politics or his music."
The A.V. Club,"From a Room, Vol. 2",91,"Stapleton's gravelly vocals sell his own openly emotive songs like no one else could, the poetic imagery in tracks like 'Scarecrow In The Garden' transcending typical beer-and-babes fodder."
The A.V. Club,War & Leisure,83,"Miguel wears War & Leisure's looseness well, and even if he doesn't reveal much of himself, he still has the charisma to pull the whole ensemble off."
Exclaim,Loma,80,"Loma is also the product of atypical conditions, written and recorded as the marriage of two of its members was dissolving. The trio seem to have leaned in to that situation: Loma captures the intimacy of such heightened circumstance with layered, compelling nuance."
Exclaim,In a Poem Unlimited,90,"Groovy and scintillating, but with depth and meaning to spare, In a Poem Unlimited is U.S. Girls--and pop music--at its very best."
Exclaim,What a Time to Be Alive,80,"Thirty years deep into their career, Superchunk throw yet another left turn into a career full of them, offering up a protest record about the people for the people. What a time to be alive, indeed."
Exclaim,Make Way for Love,90,"The singer elicited production help from Noah Georgeson ( Joanna Newsom, Devendra Banhart), a smart decision, given the subtle yet always effective sonic touches here. The result is a stunning work that will draw you back to repeated, if oft intense, listening."
Exclaim,Dead Start Program,70,"Dead Start Program as another dependable collection of quality techno that will satisfy his fan base, even if it fails to bring in new ears."
Exclaim,Clone of the Universe,70,"Due to the first half's measly runtime (half of its high octane songs clock in at under three minutes) and heavy as hell ending, listening to Clone of the Universe kind of feels like visiting a tapas bar with a few friends, only to drunkenly venture off at the end of the night to slam down a whole duck, solo (and no, that's not a euphemism): it's a journey most would avoid making, but a compelling one for those willing to roll the dice and ride."
Exclaim,Room Inside the World,70,"Ought are moving forward on Room Inside the World, adding new elements to their sound while largely retaining the tension that makes the band so compelling."
Exclaim,Crooked Shadows,60,"It was always going to be tough for Dashboard Confessional to repeat what they were, but while maybe Crooked Shadows doesn't hit the heights that A Mark, A Mission, A Brand, A Scar did in 2003, it's still a welcome return."
Exclaim,Legend of the Seagullmen,70,Fans of Mastodon's swamp prog and Tool's art-school alternative will find plenty to like.
Exclaim,Little Dark Age,70,"Its first half features some of the group's sweetest pop confections since those massive singles, while its second delves into the muggy Barrett-isms of their more recent work."
Exclaim,Always Ascending,70,"Not everything lands with the same emphasis as the album's opening moments, but there are enough quality moments across ten tracks--how ""Lois Lane"" frames the horrors of the ""over 30 singles night"" at its chorus, the disco drive of ""Glimpse of Love,"" the mid-song sax run of ""Feel the Love Go""--to suggest this transformation in sound has yet to reach its peak."
Exclaim,Sleepwalkers,50,"Sleepwalkers has some very good songs, but often comes off as cheesy and predictable--if a melody sounds familiar, it's probably because Fallon has sung one just like it before."
Exclaim,Con Todo El Mundo,80,"Atmospheric grooves is the order of the day with Khruangbin's latest; by way of psychedelic rock, Con Todo El Mundo's got the groove and grips it tight."
Exclaim,Starcrawler,70,"There's nothing truly radical about the collection, but it is gratifying riff-based rock, and in an industry littered with sycophants, Starcrawler's brand of exuberant noise is refreshing. The future may be bright for these young guns."
Exclaim,Messes,80,"Never too bitter or too sweet, these songs are bursting at the seams with casual urgency, an intoxicating counterpoint to the songs' melancholy."
Exclaim,Quit the Curse,70,"The leisurely pace of  ""In Your Dreams"" is too soporific, while ""Yeah You Know"" lacks the punctuation that needs to accompany Burch when she resigns to ""go out west a while."" Despite this dilution at times, Bruch still burns bright on Quit the Curse."
Exclaim,Criminal,80,"Most of the risks he takes on Criminal pay off, and the record is among his most confident statements as an artist."
Exclaim,Man of the Woods,50,"Immaculately produced and performed, it's hard to imagine Man of the Woods not being a hit, its tracks a steady stream for playlist fodder. But sound and feel are no substitute for soul."
Exclaim,Resolve,70,"Poppy Ackroyd chooses to move at a efficiently percussive pace throughout (best highlighted by the fertile and aptly-named ""Time""), giving the album a post-modern atmosphere rarely explored on many classical-inspired albums, making Resolve an album hard to pin down and hard to categorize, but easy to adore."
Exclaim,Lionheart,80,"When Olsen sings, the record takes on an ephemeral sad-in-a-good way vibe, Merritt's and Gustafson's voices also blend with McEntire's terrifically, making Lionheart enjoyable on the level of a record of country duets as well."
Exclaim,Pissing Stars,80,"It is intimate and alienating; friendly and mysterious; and, most importantly, a whole lot of eerie fun for any listener interested in experimental music."
Exclaim,Culture II,60,"Having more songs available to stream results in more royalties, though it doesn't equate to a flawless full-length."
Exclaim,Full Circle Nightmare,70,"Each song is theatrically arranged with Craft belting like a Broadway star and the large band supporting his every word. The ebbs and flows become slightly predictable near the end of the album, but Craft does a terrific job of performing the songs, emoting and propelling his tales with vigour."
Exclaim,Blood,90,"A near-perfect record. ... Blood flows with humanity, an exploration of diverse cultures, sounds and sensibilities. Rhye reveals that it is in tune with itself and inhabits a world that feels distant and inclusive at once."
Exclaim,Rifles and Rosary Beads,90,"Exquisite. ... Rifles & Rosary Beads offers not only a document of atrocity and neglect, but a chance for redemption and healing."
Exclaim,Open Here,80,"Field Music have created a truly immersive record with Open Here, one that is welcoming, conversational and oh-so-necessary for a world experiencing daily fear and paranoia."
Exclaim,Down Below,80,"Save somewhat of a flat end, Down Below is a great metal album that blends multiple genres into a perfectly idiosyncratic sound that should bring Tribulation much success and attention."
Exclaim,Les Fleurs du Mal,70,Folks hoping for a repeat of Rabit's 2015 pseudo-grime offering Communion will certainly be disappointed here; open-minded listeners with a penchant for the darker side of experimental dance music will find their thirst for evil slaked.
Exclaim,Freedom's Goblin,80,"Freedom's Goblin cuts open Segall's brain and lets it all ooze out. Serve yourself up a spoonful of all that melodic goo, and enjoy."
Exclaim,Shape the Future,70,"What was once something to blast on your bedroom speakers is now crying out for a live performance with a nine-piece band, which, if nothing else, shows a maturity in sound."
The 405,Silver Dollar Moment,75,"Much of the record maintains a high tempo in line with the singles released so far, but interestingly it's the one real downer that provides the album's standout moment."
The 405,Transangelic Exodus,80,"Careful attention to details grounds the story and makes it believable. You know, insomuch as a tale of transangels can be believable."
The 405,A Humdrum Star,75,A Humdrum Star is largely successful and in a perfect world will be just one of a great many formal experiments for the band.
The 405,Blood,80,Some bands are lucky and talented enough to find a format that works and just make hay with it. Rhye are plainly in love with their formula on Blood. The result is a finely balanced gem.
The 405,Brighter Wounds,70,Where Brighter Wounds works best is when the band shows an element of restraint.
The 405,Go Dig My Grave,80,"Regardless of its leanings towards the descents into gloom, Go Dig My Grave retains a gorgeous edge, Susanna's vocals are alluring as ever, on one of her most unique projects to date."
The 405,Microshift,90,"In some ways, Microshift is Hookworms' equivalent of that album [Animal Collective's Merriweather Post Pavilion]. A band with an established sound embracing electronics and pop songwriting like never before, but managing to do so without it feeling remotely forced, and finding their biggest audience yet as a result."
The 405,Dream Wife,75,"Dream Wife is an album inextricably linked with the band's own youthful energy, as it is projected from every single guitar lick, vocal tick and musical explosion across its 35 minutes. This can prove a little wearing or agitating for those not in the right state of mind, as their brand of pop-rock is some of the most invasive and bolshy likely to be heard on a debut album. However, if you're looking for an aural caffeine kick, a rock and roll sugar rush or an emphatic 'I don't give a fuck!' then look no further."
The 405,Criminal,80,"Despite the album adopting a confessional structure, the characteristic elements of The Soft Moon's aggression remains. And it all sounds dirtier, gritter and angrier than ever."
The 405,Messes,75,"Messes is an album that's likely to fly under the radar, as it is being released into a field that's already crowded. But, anyone that gives it a chance is likely to get Stef Chura's idiosyncratic vocals hooked to their brain, and will be enticed to give it more time. It will only reward further listens, as the subtleties in this simplistic joy are many."
The 405,Pissing Stars,70,"At the end of the day, this is a compelling addition to the Constellation ouvre, and there's plenty to love here for fans of any moment of Menuck's wonderful last 20+ years in recorded music."
The 405,Man of the Woods,35,"'Haters gonna say it's fake,' Timberlake frankly asserts on, 'Filthy'. They needn't even bother. Genuine or not, it simply doesn't work."
The 405,Culture II,75,"It may well be overwhelming in the moment, but Migos have provided us with a lot to unpack as we await whatever comes next. Chances are, you'll like this album far more after the glut of material becomes a tad less staggering over some months."
The 405,P2,75,"Flashes of sudden genius seem to make up for the spotty manner in which P2 is delivered in, an album that, although hype-worthy and buzzy, fails to make a truly lasting impression. However, if East can bring his same passion along for when he's finally ready to offer his debut proper, we hopefully have something to look forward to."
The 405,Marble Skies,75,"Just about every song on Marble Skies is successful. The unfortunate outlier is 'Surface to Air,' which features Slow Club's Rebecca Taylor on lead vocals. The second track on the album, it's a full-length number that feels like an interlude that outstayed its welcome."
The 405,Snares Like a Haircut,80,"At their peak, and not infrequently on Snares Like a Haircut they're within touching distance, No Age are one of the most thrilling rock bands on this planet."
The 405,Freedom's Goblin,75,"There are tracks on here that will undoubtedly go down in the pantheon of great Ty Segall songs and be taken out on stage to thrill and delight. The rest can be quickly and easily enjoyed, then entirely forgotten about--which doesn't really matter, since we're probably only a year or so away from yet another Ty Segall album."
The 405,Passover,70,"Passover may be an album of grieving, but it is not beholden to the process. While many albums of loss are as hard to hear as they are beautiful, Shields has opted for a somewhat more welcoming approach."
The 405,2 Tha Left,80,"Rarely has an emcee arrived to the hip-hop scene in such a controlled and specific manner. Perico sounds better with each release, building off of his past flaws, topping whatever he had in mind only months prior."
The 405,I Can Feel You Creep Into My Private Life,80,Tune-Yards latest is a record dominated by the society it both critiques and is a part of.
The 405,The  Official Body,60,"You can't listen to the music found here without dancing, which is a blessing and a curse. It's fun at first, but eventually you'll need a breather."
The 405,This Is Glue,60,"The production is tidy but one note, the instrumentation resolutely professional. The vocalist has a few touchstones and reverently shifts from one to another without exactly lighting any fires of his own. Back in 1992 they would call this alternative rock."
The 405,The House,70,"The House has moments where it seems like Maine might have said everything he's capable of saying with Porches. However, there are enough positives, particularly around the end, to feel like he's not bled his creativity dry."
The 405,Semicircle,50,"Often the vocal melodies religiously, and simplistically, follow the melody of the lead instrument, leading to a lack of interesting melodic counterpoint and contrast, and, in almost all cases, they're the kind of Sesame Street sing-songy melodies that no one over the age of five would unironically enjoy."
The 405,Songs of Praise,75,"It just sounds like a bunch of young men looking to blow off steam, and that is what makes it such an enjoyable romp."
The 405,Camila,60,"Cabello is finding her footing, and with more swings than misses here, the album signals a hopeful future for a fledgling pop giant."
The 405,Lex,70,"Lex is well-mannered, fun experimentalism with a winning spirit. If it doesn't break any tonal boundaries, it firmly establishes its composers' place at least in sight of the bleeding edge. And it opens the door to all manner of discoveries."
The 405,"Huncho Jack, Jack Huncho",70,"It never reaches for more, and to bludgeon it for achieving its minor ambitions is bizarre practice. It may not leap, but it never stumbles. Calm down, sit back and vibe."
The 405,POST-,85,"As a collective package, POST- is incredibly accomplished. You'll relate--hard--you'll be shook, you'll feel attacked, because this record underlines in red marker some uncomfortable truths which are articulated uproariously. POST- has set an extraordinarily high bar for the rest of punk in 2018 to clear."
The 405,Rainbow Mirror,75,"Rainbow Mirror is immersive, exhausting, and decidedly flawed. However, the strengths are more than enough to carry it forward, and the flaws are just a reminder that Fernow is at his best when he's not holding back."
Kerrang!,Technology,80,"It's 14 tracks of craziness to be embraced and shouted at the rafters. [10 Feb 2018, p.50]"
Kerrang!,Clone of the Universe,80,"The pairing makes more and more sense everytime you listen to it, perfectly rounding off 37 minutes of bubbling, stoned fuzz. [3 Feb 2018, p.52]"
Kerrang!,Legend of the Seagullmen,60,"Epic, bonkers album. [3 Feb 2018, p.51]"
Kerrang!,Sleepwalkers,80,"Light and breezy strummer Her majesty's Service occasionally reads like a string of Fallon-isms (rolling stones, a girl named Elsie, etc.), but it's blown away by the hulking brass of Sleepwalkers, which straddles the line between grandness and outrageousness perfectly. [10 Feb 2018, p.52]"
Kerrang!,Here Come the Runts,40,"Scattershot. [20 Jan 2018, p.53]"
Kerrang!,Down Below,80,"You won't realise you've been possessed til it's too late. [20 Jan 2018, p.52]"
Kerrang!,Hold On To Your Heart,80,"Fantastic album. [27 Jan 2018, p.51]"
Kerrang!,Mania,80,"They're strutting along a tightrope without a downward glance here. [27 Jan 2018, p.50]"
Kerrang!,Knowing What You Know Now,100,"Here you're thrilled by how refreshingly streamlined these songs are from the off. [20 Jan 2018, p.50]"
Kerrang!,The Age of Absurdity,60,"Their diesel-soaked biker rock is an uncomplicated joy. [13 Jan 2018, p.52]"
Kerrang!,Underworld,60,"Occasionally one song simple bleeds into another. ... On the whole, however, Underworld bears the mark of a band redefining who they are and putting themselves back on steady footing after a wobble. [6 Jan 2018, p.52]"
Kerrang!,Vale,80,"Despite throwing some creative curveballs into the mix, Vale feels very much like the rue follow-up to Wretched And Divine, and sees Black Veil Brides writing their own myth once more. [13 Jan 2018, p.50]"
Kerrang!,No Cross No Crown,80,"It's simple stuff, but it's as powerful and unstoppable as an avalanche. [6 Jan 2018, p.54]"
Kerrang!,Asking Alexandria,80,"Danny's back where he belongs, and Asking Alexandria have returned with their boldest record yet. [2 Dec 2017, p.49]"
Kerrang!,From the Fires,60,"This young band sound so eerily similar Led Zeppelin, you wish they'd back off a little. [25 Nov 2017, p.52]"
Kerrang!,Material Control,80,"It's a record that ignores its own decade-long mystique to work on being important on its own merit, through dazzling songcraft and the band's unrivaled ability to pull brightness from the most freakish and inharmonious junctures. [9 Dec 2017, p.51]"
Kerrang!,Master of Puppets [Remastered & Expanded Edition],100,"From the embryonic ideas to the songs' live debuts, it's the ultimate insight into the birth of a world-conquering classic. [11 Nov 2017, p.52]"
Kerrang!,Wizard Bloody Wizard,80,"An album that once again sees Wizard creating a new landscape with only the slightest adjustment. Yeah, it's more rock'n'roll, but it's still ultra-stoned, it's still ultra-heavy, and Electric Wizard still hate[s] you. [25 Nov 2017, p.51]"
Kerrang!,Synthesis,60,"It frequently feels like one of those remix albums where tinkering guests have tried too hard to put their own stamp on proceedings, resulting in curios that are momentarily interesting, but will never replace the established versions in your affections on your playlists. [11 Nov 2017, p.50]"
Kerrang!,Interiors,60,"Propelled by Sergio Vega's springy bass, Walter Schreifels' effortless instantly recognisable vocal floats over everything. [11 Nov 2017, p.51]"
Kerrang!,American Fall,60,"It's radiant, bold and frequently brilliant. [4 Nov 2017, p.53]"
Kerrang!,The Dusk in Us,100,"Five years since the release of All We Love We Leave Behind, you could argue this is more of the same and just another Converge album. Pitted against the best of the band's catalogue, though, this one holds its own. [4 Nov 2017, p.50]"
Kerrang!,The  Canyon,80,"The Canyon showcases a consistent and powerful synergy between strong songwriting, potent subject matter, and eclectic musicianship that proves The Used continue to grow as people and as a band 15 years into their career. [28 Oct 2017, p.50]"
Kerrang!,Pacific Daydream,60,"This is Weezer experimenting a little, while still remaining recognisably them. For those down for this sort of thing, stick on your dancing shoes and go with Pacific Daydream's flow. [21 Oct 2017, p.50]"
Kerrang!,The  Blood of Gods,60,"The results are much as you'd expect, with crazy lyrics and the occasional brilliant riff. [21 Oct 2017, p.52]"
Kerrang!,Shapeshifter,80,"While Shapeshifter isn't a complete transformation, it is a confident and relatable expedition through adolescence. [14 Oct 2017, p.53]"
Kerrang!,As You Please,80,"[The] band's most atmospheric music to date. [14 Oct 2017, p.52]"
Kerrang!,Heaven Upside Down,80,"Heaven Upside Down betters that record [2015's The Pale Emperor]. [14 Oct 2017, p.50]"
Kerrang!,Nightbringers,80,"It's a beast from start to finish. [7 Oct 2017, p.52]"
Kerrang!,Phantom Anthem,80,"A riveting convergence point for 14 years of expert graft. [7 Oct 2017, p.52]"
Beats Per Minute (formerly One Thirty BPM),I Want to See Pulaski at Night [EP],67,These six instrumentals are pleasant if not pretty in the usual way an Andrew Bird instrumental track might be.
Beats Per Minute (formerly One Thirty BPM),Hardcourage,74,Hardcourage is an exceedingly worthwhile release from a producer that's constantly pushing himself toward new things.
Beats Per Minute (formerly One Thirty BPM),California X,84,"It's one of the young year's best all-out rock records, the kind of fantastic full-length that some kid in a garage will one day look back to themselves, maybe when plugging that guitar in for the first time."
Beats Per Minute (formerly One Thirty BPM),The  End of Silence,75,"The End of Silence is a serious statement that can bring the harshness of war to your ears and occasionally make you rethink how casually you consume the news. It's by no means an easy album to wander through, but I doubt it was ever Herbert's intention to make this 'easy listening' in any conventional sense of the term."
Beats Per Minute (formerly One Thirty BPM),Julia with Blue Jeans On,78,"Such is Krug's way with words: deliberately or not, he's weaving a huge tapestry that makes the author clearer to us. Julia With Blue Jeans On is another section in it and is a damned beautiful, it not great one at that."
Beats Per Minute (formerly One Thirty BPM),R Plus Seven,90,"Here, Lopatin excels at what he's been doing since his first release as Oneohtrix Point Never, and what first brought us to him: drawing feeling out of the digital realm, instead of just channeling it."
Beats Per Minute (formerly One Thirty BPM),Fuzz,78,Scoff at them for being a bit too obvious with their name but Fuzz and Fuzz deliver the garage rock roar we've come to expect from Segall and Co.
Beats Per Minute (formerly One Thirty BPM),Jinx,77,"Granted, as they've smoothed out the rough edges a bit, some of the rugged immediacy has been lost, but they've more than make up for it in a newfound sense of lively rhythmic interaction."
Beats Per Minute (formerly One Thirty BPM),Days Are Gone,85,"With the triumvirate of googly-eyed rhythms, sinfully catchy melodies and a breeziness that seems only fitting, they've served up one of the most auspicious debuts of the year."
Beats Per Minute (formerly One Thirty BPM),Smilewound,53,"The timbre or the texture of the sounds they make is worth noting while working through Smilewound, but hardly worth returning specifically for."
Beats Per Minute (formerly One Thirty BPM),The Bones of What You Believe,67,"They write very strong songs, but aural satiation sinks in over Bones' 48 minute runtime."
Beats Per Minute (formerly One Thirty BPM),Brass,75,"Aside from a few inconsistencies, the change in sound is quite revitalizing and proves that there is more to Royal Bangs than a serious case of musical ADD."
Beats Per Minute (formerly One Thirty BPM),Dream River,86,Dream River is as evocative a record as he's ever made and that's saying quite a lot.
Beats Per Minute (formerly One Thirty BPM),Factory Floor,86,"Comparing it to where they once were, somewhere middling between post-rock and meandering industrial ambient, the sound of Factory Floor is of a band that is now confident in their own original and entirely dominant sound."
Beats Per Minute (formerly One Thirty BPM),Repave,80,"The limits of Vernon's imagination and drive have yet to be truly tested, and based on the size of the sounds that he's summoning here, the ceiling isn't even in his sights yet."
Beats Per Minute (formerly One Thirty BPM),"Right Thoughts, Right Words, Right Action",52,"The experimental mindset is evident in moments of Right Thoughts, but only a select few, and like Tonight, it's most prominent on the last few tracks."
Beats Per Minute (formerly One Thirty BPM),AM,86,"AM is a pitch black party record, full of menacing pop and grimy, indelible grooves drowned in bourbon."
Beats Per Minute (formerly One Thirty BPM),The Silver Gymnasium,81,"This album finds them going all-out in swashbuckling revelry for the most part, and it suits them better than anyone might have expected."
Beats Per Minute (formerly One Thirty BPM),Versions,69,"With repeated listens though, the tracks on Versions don't entice you back again and again like the ominous hook-laden tracks of Stridulum or even the wide sound palette of Conatus do. Versions is probably best for those who were there at the Guggenheim concert."
Beats Per Minute (formerly One Thirty BPM),Imps of Perversion,61,"Although working your way through the album can feel like trudging through the shit-stinking mud in the tunnels beneath the streets, there are glimpses of lights that break though from the surface, like manhole covers left exposed."
Beats Per Minute (formerly One Thirty BPM),Loud City Song,88,"Loud City Song is a true achievement from Julia Holter. Nary is there a hook on the album, but the richness and vividness that she brings to the songs musically and lyrically will hook you more effectively anyway."
Beats Per Minute (formerly One Thirty BPM),Doris,78,"Many of the best rap records are monochromatically single-minded, but then the other half, embrace contradictions as a weapon, rage hiding insecurities, heartless satire shielding weakness, such as Earl's hero, early period Slim Shady."
Beats Per Minute (formerly One Thirty BPM),Howlin',72,"Mindlessly hummable and pure of vision, Howlin' sounds just as good coming from your headphones as it does from Marshall stacks."
Beats Per Minute (formerly One Thirty BPM),Nepenthe,85,"Nepenthe isn't The Magic Place, but it certainly sounds like she's found another special site of inspiration. Thankfully for us it's just as prodigious and marvellous as anything else Barwick has put out before."
Beats Per Minute (formerly One Thirty BPM),MeYouWeYou,75,RocketNumberNine should be commended for the killer tracks that they've managed to pack into MeYouWeYou.
